Time	x	p
865.035	-1.86077	-2.50812
866.035	-1.93667	-2.55116
867.035	-2.01384	-2.5919
868.035	-2.09219	-2.63031
869.035	-2.17166	-2.66635
870.035	-2.25217	-2.7
871.035	-2.33365	-2.73121
872.035	-2.41604	-2.75996
873.035	-2.49925	-2.78623
874.035	-2.58322	-2.81
875.035	-2.66785	-2.83123
876.035	-2.75309	-2.84992
877.035	-2.83885	-2.86604
878.035	-2.92505	-2.87958
879.035	-3.01162	-2.89053
880.035	-3.09848	-2.89888
881.035	-3.18556	-2.90462
882.035	-3.27276	-2.90774
883.035	-3.36002	-2.90825
884.035	-3.44726	-2.90614
885.035	-3.53439	-2.90142
886.035	-3.62134	-2.89408
887.035	-3.70803	-2.88414
888.036	-3.79439	-2.8716
889.036	-3.88033	-2.85648
890.036	-3.96578	-2.83879
891.036	-4.05066	-2.81855
892.036	-4.13489	-2.79576
